Participant,Base,Input Override,Mitigated Fail,Rule Change,Augmented Success,,
1,4,1,3,2,5,,
2,4,3,1,2,5,,
3,4,3,1,5,2,,
4,5,4,2,3,1,,
5,4,3,2,1,5,,
6,4,5,1,3,2,,
7,1,3,2,4,5,,
8,5,2,1,3,4,,
9,3,5,1,4,2,,
10,2,4,1,3,5,,
11,5,2,1,3,4,,
12,1,2,5,3,4,,
13,4,3,1,2,5,,
14,3,2,1,4,5,,
15,3,2,1,4,5,,
16,3,5,1,4,2,,
17,3,5,1,2,4,,
18,2,4,1,5,3,,
19,4,3,1,2,5,,
20,4,5,2,1,3,,
21,4,5,2,1,3,,
22,2,1,4,3,5,,
23,4,3,5,1,2,,
24,5,3,2,1,4,,
25,2,5,1,3,4,,
26,4,1,2,3,5,,
27,5,3,1,4,2,,
28,1,2,5,4,3,,
29,5,2,1,4,3,,
30,2,4,1,3,5,,Average Score:
Results:,102,95,54,87,112,,90
,,,,,,,
Ranks:,#2,#3,#5,#4,#1,,